#    r:        g(r):       error:
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 2.43154e-05 2.27449e-05
    0.910562  0.00153606 0.000326146
    0.936212   0.0256046 0.000527937
    0.961861    0.164436  0.00179876
    0.987511    0.565443  0.00515094
     1.01316     1.20386   0.0062399
     1.03881     1.86931   0.0103168
     1.06446     2.33629  0.00989883
     1.09011     2.55349  0.00677233
     1.11576     2.54932  0.00534752
     1.14141     2.40949  0.00600342
     1.16706     2.19879  0.00742768
     1.19271     1.96666  0.00755323
     1.21836     1.75077  0.00571812
     1.24401     1.55703  0.00564387
     1.26966     1.39004  0.00268856
     1.29531     1.24176  0.00439111
     1.32096     1.11589  0.00315287
     1.34661     1.01976   0.0056937
     1.37226    0.938246  0.00405935
     1.39791    0.872185  0.00273773
     1.42355    0.817541  0.00457852
      1.4492    0.770335   0.0032989
     1.47485    0.737508  0.00474542
      1.5005    0.705967  0.00336906
     1.52615    0.693908  0.00345531
      1.5518    0.681938  0.00344208
     1.57745    0.675376    0.002675
      1.6031    0.674587  0.00322892
     1.62875    0.682054  0.00273475
      1.6544    0.697129  0.00306779
     1.68005    0.703867  0.00395612
      1.7057    0.728897  0.00257513
     1.73135    0.755048  0.00241444
       1.757    0.782794  0.00378754
     1.78265    0.817465  0.00240926
      1.8083    0.853102   0.0028824
     1.83395    0.888843  0.00443907
      1.8596    0.932781  0.00498808
     1.88525    0.972143  0.00448867
      1.9109     1.01357  0.00441729
     1.93655     1.05551  0.00330272
      1.9622     1.09582  0.00378316
     1.98785     1.13064  0.00331972
      2.0135     1.15866  0.00269261
     2.03915     1.18572  0.00350675
      2.0648     1.20274   0.0038425
     2.09045      1.2156  0.00459958
      2.1161     1.21525  0.00492914
     2.14174      1.2075  0.00482908
     2.16739     1.19243  0.00408562
     2.19304     1.17202  0.00279702
     2.21869      1.1547  0.00383575
     2.24434     1.12624   0.0026236
     2.26999     1.09472  0.00209638
     2.29564     1.06706  0.00232513
     2.32129     1.03761  0.00296981
     2.34694     1.01394  0.00191574
     2.37259    0.986133  0.00362368
     2.39824    0.966135   0.0031137
     2.42389    0.946611  0.00333468
     2.44954    0.931406  0.00345897
     2.47519    0.919937  0.00332772
     2.50084    0.907493  0.00327122
     2.52649    0.897827  0.00390676
     2.55214    0.887306  0.00240778
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 2.16137e-05 2.03776e-05
    0.910562  0.00167107 0.000316621
    0.936212   0.0261856 0.000721316
    0.961861    0.165192  0.00175042
    0.987511    0.569266  0.00582698
     1.01316     1.20596  0.00589091
     1.03881      1.8684  0.00921046
     1.06446     2.33631  0.00879898
     1.09011     2.55282  0.00605297
     1.11576      2.5447   0.0064433
     1.14141     2.40803  0.00551231
     1.16706     2.19687  0.00684778
     1.19271     1.96756  0.00676774
     1.21836     1.75151  0.00512985
     1.24401     1.55667  0.00502816
     1.26966     1.38978  0.00240191
     1.29531     1.24009  0.00421011
     1.32096     1.11602  0.00280519
     1.34661     1.02166  0.00536964
     1.37226     0.93777  0.00363609
     1.39791    0.871227  0.00259563
