# mu sigma energy error acceptance
0.9 0.75 -0.252953489 0.03110589385 0.74115
0.9 0.8 -0.1761082807 0.02751164139 0.75415
0.9 0.85 -0.02224800386 0.04312951806 0.75615
0.9 0.9 0.01559690307 0.04755460383 0.75345
0.95 0.2 4.854350594 0.2110274991 0.1596
0.95 0.25 2.581116191 0.1202899634 0.20295
0.95 0.3 1.483465421 0.07054372174 0.2591
0.95 0.35 0.7517212429 0.04634169638 0.30795
0.95 0.4 0.3354968288 0.02699634034 0.3553
0.95 0.45 0.005506216532 0.01876436003 0.41495
0.95 0.5 -0.200840662 0.01155487277 0.4827
0.95 0.55 -0.3287233426 0.008271397346 0.544
0.95 0.6 -0.3512651519 0.009737524123 0.6025
0.95 0.65 -0.3181906639 0.01710287001 0.65565
0.95 0.7 -0.2573370109 0.02274424016 0.6912
0.95 0.75 -0.2036020357 0.0323374435 0.7274
0.95 0.8 -0.06627346623 0.03927768686 0.7511
0.95 0.85 -0.004923854747 0.04301137835 0.76315
0.95 0.9 0.2258056304 0.06883077639 0.76075
1 0.2 4.540182563 0.2137558043 0.1584
1 0.25 2.574094309 0.1137982416 0.1944
1 0.3 1.424553302 0.07675036798 0.2454
1 0.35 0.7744703106 0.03870981252 0.2966
1 0.4 0.3375648367 0.02778503489 0.3353
1 0.45 0.04089677137 0.01685057753 0.399
1 0.5 -0.1357459921 0.0116878076 0.4559
1 0.55 -0.241669766 0.008292859732 0.51205
1 0.6 -0.2883296577 0.01087138484 0.57535
1 0.65 -0.2723361055 0.01617340687 0.6391
1 0.7 -0.1487347597 0.02551685547 0.68175
1 0.75 -0.05898245608 0.03943836479 0.7214
1 0.8 0.0239929289 0.044116307 0.74965
1 0.85 0.126076536 0.04760616647 0.77355
1 0.9 0.496087297 0.07866359325 0.7781
