# mu sigma energy error acceptance
0.76 0.52 -0.350446837 0.01162889392 0.6284
0.76 0.54 -0.3974295927 0.009083738179 0.64565
0.76 0.56 -0.4059645978 0.007041442366 0.66105
0.76 0.58 -0.4342486334 0.005791001427 0.6688
0.76 0.6 -0.4398527154 0.005294932072 0.68825
0.76 0.62 -0.4449858224 0.005118785725 0.6982
0.76 0.64 -0.4371317147 0.005002363482 0.6992
0.76 0.66 -0.4281082919 0.007315904055 0.7037
0.76 0.68 -0.4203449137 0.008894820285 0.70305
0.76 0.7 -0.3921289045 0.01298572706 0.70305
0.76 0.72 -0.4007929098 0.0113500719 0.70785
0.76 0.74 -0.3471710135 0.01814501717 0.70495
0.76 0.76 -0.3286955157 0.02565242428 0.7052
0.76 0.78 -0.3197065133 0.01972168151 0.70305
0.76 0.8 -0.3048164073 0.01988275109 0.69925
0.78 0.4 0.2803466149 0.0315116226 0.4517
0.78 0.42 0.1169788553 0.02745780472 0.4848
0.78 0.44 -0.01852603545 0.02420222902 0.50785
0.78 0.46 -0.1569482132 0.01975422006 0.54335
0.78 0.48 -0.230840867 0.01513833705 0.5691
0.78 0.5 -0.2904928846 0.0140141426 0.5922
0.78 0.52 -0.3236057465 0.0106645494 0.60905
0.78 0.54 -0.3886054749 0.007686263741 0.63225
0.78 0.56 -0.4225194264 0.007474491375 0.6519
0.78 0.58 -0.4309799132 0.005463581347 0.66645
0.78 0.6 -0.4398962417 0.005216708043 0.68075
0.78 0.62 -0.4364310859 0.005927132841 0.70165
0.78 0.64 -0.4427833578 0.006185645769 0.70125
0.78 0.66 -0.4348803919 0.006690291661 0.7036
0.78 0.68 -0.4152831872 0.0117464537 0.71385
0.78 0.7 -0.4058297115 0.01359512094 0.71685
0.78 0.72 -0.3791821846 0.01321023457 0.71365
0.78 0.74 -0.3924625462 0.009910225564 0.71255
0.78 0.76 -0.3585244096 0.01219897736 0.7143
0.78 0.78 -0.3144650271 0.01883307675 0.71285
0.78 0.8 -0.2652242297 0.02193417092 0.71075
0.8 0.4 0.2992402811 0.03366211272 0.4338
0.8 0.42 0.1079061341 0.02640286742 0.461
0.8 0.44 0.006053058123 0.02388254701 0.49405
0.8 0.46 -0.1577040548 0.02237019414 0.5218
0.8 0.48 -0.2312376156 0.01651362951 0.54665
0.8 0.5 -0.2878509975 0.01337198493 0.5753
0.8 0.52 -0.356014412 0.01113856997 0.60425
0.8 0.54 -0.3947230962 0.009120372139 0.62
0.8 0.56 -0.4142368797 0.006653017063 0.64465
0.8 0.58 -0.4404049925 0.005874594142 0.6662
0.8 0.6 -0.4349547032 0.005450808593 0.67755
0.8 0.62 -0.4365034813 0.0122274963 0.6951
0.8 0.64 -0.436245026 0.006990009768 0.6962
0.8 0.66 -0.4344149723 0.007730011191 0.71165
0.8 0.68 -0.3942588066 0.01715025245 0.71835
0.8 0.7 -0.4063496672 0.01189723207 0.7145
0.8 0.72 -0.3839600807 0.01543710045 0.724
0.8 0.74 -0.3757573073 0.01699024527 0.7185
0.8 0.76 -0.3520070855 0.01664874956 0.7213
0.8 0.78 -0.2875756641 0.02649448699 0.72655
0.8 0.8 -0.2384662369 0.03116024001 0.719
0.82 0.4 0.3281189148 0.03251076369 0.4284
0.82 0.42 0.1390445927 0.02462399601 0.45145
0.82 0.44 -0.001242712843 0.0253755589 0.4833
0.82 0.46 -0.1262781037 0.01934456823 0.508
0.82 0.48 -0.2294584187 0.01610385851 0.5373
0.82 0.5 -0.2822076258 0.01466177258 0.55685
0.82 0.52 -0.3373372984 0.01065966534 0.5876
0.82 0.54 -0.3853876572 0.009883814892 0.6172
0.82 0.56 -0.4257122631 0.006961539807 0.62975
0.82 0.58 -0.4261707763 0.006947389382 0.658
0.82 0.6 -0.4449882874 0.005304667501 0.6734
0.82 0.62 -0.4407524327 0.006293888034 0.6846
0.82 0.64 -0.4467386513 0.007545419302 0.7015
0.82 0.66 -0.438966183 0.009828469939 0.71005
0.82 0.68 -0.3943569125 0.01442103772 0.71425
0.82 0.7 -0.3960591305 0.0115691957 0.7241
0.82 0.72 -0.3945212649 0.01208505159 0.7268
0.82 0.74 -0.3368305566 0.02296316348 0.72545
0.82 0.76 -0.345762588 0.01505961245 0.72405
0.82 0.78 -0.2872903714 0.02495279631 0.7256
0.82 0.8 -0.2719759525 0.02124511823 0.72605
0.84 0.4 0.3237283553 0.03171269685 0.4145
0.84 0.42 0.1395024891 0.02872095184 0.4338
0.84 0.44 -0.01240791732 0.02079214167 0.4712
0.84 0.46 -0.1096131718 0.0187297541 0.50105
0.84 0.48 -0.2202140114 0.01624877265 0.53185
0.84 0.5 -0.2986761947 0.01434716829 0.5486
0.84 0.52 -0.3223140686 0.01003472938 0.57395
0.84 0.54 -0.3655246904 0.008583069342 0.60485
0.84 0.56 -0.4066175832 0.007252061781 0.6286
0.84 0.58 -0.4300726614 0.00593843312 0.6491
0.84 0.6 -0.4361701904 0.005718747957 0.6646
0.84 0.62 -0.435980623 0.009685206997 0.68205
0.84 0.64 -0.421743241 0.009275872112 0.69835
0.84 0.66 -0.4113997601 0.009482763133 0.70605
